ROWNUMBER,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALES_PRICE,SALE DATE
851,1,CHELSEA,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT , ,695,2201, , ,559 WEST 23RD   STREET, ,0,0,0,0,0,2,R8,2060.50,2017-01-24
852,1,CHELSEA,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,769,1201, ,R8,223 WEST 19TH   STREET,COMM1,10011,0,1,1,0,2,R8,0.00,2017-03-08
853,1,CHELSEA,17 CONDO COOPS                             ,2,718,1004, ,R9,"177 NINTH AVENUE, 5H", ,10011,0,0,0,2008,2,R9,4100.00,2016-09-28
854,1,CHELSEA,17 CONDO COOPS                             ,2,718,1004, ,R9,"177 NINTH AVENUE, 5B", ,10011,0,0,0,2008,2,R9,3625.00,2016-10-06
855,1,CHELSEA,17 CONDO COOPS                             ,2,718,1004, ,R9,"177 NINTH AVENUE, 5D", ,10011,0,0,0,2008,2,R9,3900.00,2017-02-07
856,1,CHELSEA,17 CONDO COOPS                             ,2,718,1004, ,R9,"177 NINTH AVENUE, 4A", ,10011,0,0,0,2008,2,R9,9939.12,2017-07-06
857,1,CHELSEA,17 CONDO COOPS                             ,2,718,1004, ,R9,"177 NINTH AVENUE, 4E", ,10011,0,0,0,2008,2,R9,1725.00,2017-07-13
858,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"465 WEST 23RD STREET, 11A", ,10011,0,0,0,1932,2,R9,1275.00,2016-09-08
859,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"465 WEST 23RD   STREET, RCU1", ,10011,0,0,0,1932,2,R9,1037.46,2016-11-10
860,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"410 WEST 24TH STREET, 8C", ,10011,0,0,0,1932,2,R9,575.00,2016-11-03
861,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"410 WEST 24TH STREET, 5C", ,10011,0,0,0,1932,2,R9,590.00,2016-11-15
862,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"410 WEST 24TH STREET, 14I", ,10011,0,0,0,1932,2,R9,585.00,2017-02-09
863,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"405 WEST 23RD   STREET, 8IL", ,10011,0,0,0,1932,2,R9,712.50,2016-12-30
864,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"470 WEST 24TH STREET, 19E/F", ,10011,0,0,0,1932,2,R9,3200.00,2016-09-15
865,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"410 WEST 24TH STREET, RCU-1", ,10011,0,0,0,1932,2,R9,590.00,2017-06-20
866,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"465 WEST 23RD STREET, 19A", ,10011,0,0,0,1932,2,R9,3525.00,2017-07-06
867,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"410 WEST 24TH STREET, 12K", ,10011,0,0,0,1932,2,R9,1205.00,2017-07-11
868,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"470 WEST 24TH   STREET, 2A", ,10011,0,0,0,1932,2,R9,980.00,2017-07-11
869,1,CHELSEA,17 CONDO COOPS                             ,2,721,1008, ,R9,"465 WEST 23RD STREET, 8F", ,10011,0,0,0,1932,2,R9,615.00,2017-07-27
870,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"410 WEST 24TH STREET, 3M", ,10011,0,0,0,0,2,R9,1300.00,2016-10-20
871,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"405 WEST 23RD   STREET, 14E", ,10011,0,0,0,0,2,R9,595.00,2017-01-04
872,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"405 WEST 23RD   STREET, 14E", ,10011,0,0,0,0,2,R9,638.00,2017-01-24
873,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"410 WEST 24TH STREET, 8G", ,10011,0,0,0,0,2,R9,550.00,2017-02-07
874,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"410 WEST 24TH STREET, 9H", ,10011,0,0,0,0,2,R9,1200.00,2017-03-01
875,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"405 WEST 23RD   STREET, 14L", ,10011,0,0,0,0,2,R9,620.00,2017-03-21
876,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"470 WEST 24TH STREET, 12G", ,10011,0,0,0,0,2,R9,1325.00,2017-03-27
877,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"405 WEST 23RD   STREET, 14E", ,10011,0,0,0,0,2,R9,0.00,2017-03-31
878,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"405 WEST 23RD   STREET, 14E", ,10011,0,0,0,0,2,R9,5199.93,2017-06-08
879,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"465 WEST 23RD   STREET, 19BC", ,10011,0,0,0,0,2,R9,2750.00,2017-07-06
880,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"405 WEST 23RD   STREET, 6F", ,10011,0,0,0,0,2,R9,643.00,2017-07-20
881,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"410 WEST 24TH STREET, 14M", ,10011,0,0,0,0,2,R9,1100.00,2017-08-08
882,1,CHELSEA,17 CONDO COOPS                             ,2,721,1062, ,R9,"405 WEST 23RD STREET, 14G", ,10011,0,0,0,0,2,R9,620.00,2017-08-24
883,1,CHELSEA,17 CONDO COOPS                             ,2,738,1003, ,R9,"85 8TH AVENUE, 4G", ,10011,0,0,0,1973,2,R9,545.00,2016-09-16
884,1,CHELSEA,17 CONDO COOPS                             ,2,738,1003, ,R9,"85 8TH AVENUE, 1J", ,10011,0,0,0,1973,2,R9,600.00,2016-11-10
885,1,CHELSEA,17 CONDO COOPS                             ,2,738,1003, ,R9,85 8TH AVE, ,10011,0,0,0,1973,2,R9,580.00,2016-11-23
886,1,CHELSEA,17 CONDO COOPS                             ,2,738,1003, ,R9,85 8TH AVE, ,10011,0,0,0,1973,2,R9,565.00,2017-02-06
887,1,CHELSEA,17 CONDO COOPS                             ,2,738,1003, ,R9,"85 8TH AVENUE, 3G", ,10011,0,0,0,1973,2,R9,525.00,2017-02-08
888,1,CHELSEA,17 CONDO COOPS                             ,2,738,1003, ,R9,"85 8TH AVENUE, 1S", ,10011,0,0,0,1973,2,R9,782.07,2017-07-05
889,1,CHELSEA,17 CONDO COOPS                             ,2,738,1003, ,R9,"85 8TH AVENUE, 2D", ,10011,0,0,0,1973,2,R9,599.00,2017-06-15
890,1,CHELSEA,17 CONDO COOPS                             ,2,740,1102, ,R9,"305 WEST 16TH STREET, 3K", ,10011,0,0,0,2008,2,R9,2100.00,2017-08-10
891,1,CHELSEA,17 CONDO COOPS                             ,2,745,1104, ,R9,"360 WEST 22ND   STREET, 7E", ,10011,0,0,0,0,2,R9,1915.00,2017-04-06
892,1,CHELSEA,17 CONDO COOPS                             ,2,745,1104, ,R9,"360 WEST 22ND   STREET, 2P", ,10011,0,0,0,0,2,R9,465.00,2017-03-28
893,1,CHELSEA,17 CONDO COOPS                             ,2,745,1104, ,R9,"360 WEST 22ND STREET, 7K", ,10011,0,0,0,0,2,R9,900.00,2017-05-10
894,1,CHELSEA,17 CONDO COOPS                             ,2,745,1104, ,R9,"360 WEST 22ND STREET, 9J", ,10011,0,0,0,0,2,R9,695.00,2017-05-24
895,1,CHELSEA,17 CONDO COOPS                             ,2,745,1104, ,R9,"360 WEST 22ND STREET, 11C", ,10011,0,0,0,0,2,R9,967.50,2017-05-11
896,1,CHELSEA,17 CONDO COOPS                             ,2,745,1104, ,R9,"360 WEST 22ND STREET, 10-R", ,10011,0,0,0,0,2,R9,605.00,2017-06-26
897,1,CHELSEA,17 CONDO COOPS                             ,2,745,1104, ,R9,"360 WEST 22ND STREET, 12T", ,10011,0,0,0,0,2,R9,775.00,2017-08-01
898,1,CHELSEA,17 CONDO COOPS                             ,2,745,1104, ,R9,"360 WEST 22ND STREET, 5N", ,10011,0,0,0,0,2,R9,580.00,2017-08-02
899,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 WEST 23RD STREET, 13G", ,10011,0,0,0,1931,2,R9,900.00,2016-12-22
900,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 WEST 23RD STREET, 8M", ,10011,0,0,0,1931,2,R9,470.00,2017-02-08
901,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 WEST 23RD STREET, 16D", ,10011,0,0,0,1931,2,R9,500.00,2017-02-13
902,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 WEST 23RD STREET, 8A/8N", ,10011,0,0,0,1931,2,R9,895.00,2017-03-31
903,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 WEST 23 STREET, 6I", ,10011,0,0,0,1931,2,R9,460.00,2017-06-07
904,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 W 23 ST, 16K", ,10011,0,0,0,1931,2,R9,925.00,2017-06-07
905,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 WEST 23RD STREET, 8-HI", ,10011,0,0,0,1931,2,R9,1675.00,2017-07-06
906,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 WEST 23RD STREET, 3D", ,10011,0,0,0,1931,2,R9,400.00,2017-07-24
907,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 WEST 23RD STREET, 4E", ,10011,0,0,0,1931,2,R9,1945.00,2017-08-03
908,1,CHELSEA,17 CONDO COOPS                             ,2,746,1202, ,R9,"300 WEST 23RD STREET, 13F", ,10011,0,0,0,1931,2,R9,515.00,2017-08-18
909,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"200 WEST 20TH STREET, 1515", ,10011,0,0,0,1980,2,R9,576.50,2016-09-20
910,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"200 WEST 20TH STREET, 1115", ,10011,0,0,0,1980,2,R9,0.00,2016-10-14
911,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"200 WEST 20TH STREET, 1512", ,10011,0,0,0,1980,2,R9,618.00,2017-02-02
912,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"160 7 AVENUE, 1206", ,10011,0,0,0,1980,2,R9,595.00,2017-02-14
913,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"160 7 AVENUE, 403", ,10011,0,0,0,1980,2,R9,490.00,2017-03-15
914,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"200 WEST 20TH STREET, 1002", ,10011,0,0,0,1980,2,R9,575.00,2017-03-27
915,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"160 7 AVENUE, RES", ,10011,0,0,0,1980,2,R9,563.25,2017-04-05
916,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"160 7 AVENUE, RES", ,10011,0,0,0,1980,2,R9,483.00,2017-05-10
917,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"200 WEST 20TH STREET, 608", ,10011,0,0,0,1980,2,R9,982.50,2017-06-12
918,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"200 WEST 20TH STREET, 816", ,10011,0,0,0,1980,2,R9,0.00,2017-06-29
919,1,CHELSEA,17 CONDO COOPS                             ,2,769,1104, ,R9,"200 WEST 20TH STREET, 711", ,10011,0,0,0,1980,2,R9,1300.00,2017-08-03
920,1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"161 WEST 16TH STREET, 7E", ,10011,0,0,0,1908,2,R9,735.00,2016-10-27
921,1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"161 WEST 16TH STREET, 9B", ,10011,0,0,0,1908,2,R9,698.00,2016-11-21
922,1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"161 WEST 16TH STREET, 9D", ,10011,0,0,0,1908,2,R9,700.00,2017-04-06
923,1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"138-40 WEST 17TH STREET, 5TH F", ,10011,0,0,0,1908,2,R9,3700.00,2017-04-13
924,1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"161 WEST 16TH STREET, 16E", ,10011,0,0,0,1908,2,R9,685.00,2017-04-26
925,1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"161 WEST 16TH STREET, 10A", ,10011,0,0,0,1908,2,R9,699.00,2017-04-19
926,1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"138 WEST 17TH   STREET, RES", ,10011,0,0,0,1908,2,R9,1220.00,2017-06-12
927,1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"161 WEST 16TH STREET, 14G", ,10011,0,0,0,1908,2,R9,1160.00,2017-06-26
928,1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"161 WEST 16TH STREET, 10J", ,10011,0,0,0,1908,2,R9,725.00,2017-08-02
929,1,CHELSEA,17 CONDO COOPS                             ,2,792,1302, ,R9,"161 WEST 16TH STREET, 7A", ,10011,0,0,0,1930,2,R9,620.00,2016-09-12
930,1,CHELSEA,17 CONDO COOPS                             ,2,792,1302, ,R9,"161 W 16TH STREET, 17B", ,10011,0,0,0,1930,2,R9,1200.00,2016-12-28
931,1,CHELSEA,17 CONDO COOPS                             ,2,792,1302, ,R9,"161 W 16TH STREET, 17A", ,10011,0,0,0,1930,2,R9,3755.00,2016-12-28
932,1,CHELSEA,21 OFFICE BUILDINGS                        ,4,692,63, ,O2,558 WEST 21ST STREET, ,10011,0,3,3,1900,4,O2,17300.00,2017-06-30
933,1,CHELSEA,21 OFFICE BUILDINGS                        ,4,790,32, ,O1,531-537 AVENUE OF THE AMER, ,10011,1,1,1,1953,4,O1,42400.00,2017-04-18
934,1,CHELSEA,21 OFFICE BUILDINGS                        ,4,800,25, ,O3,119 WEST 24TH   STREET, ,10011,0,1,1,1913,4,O3,0.00,2016-09-21
935,1,CHELSEA,21 OFFICE BUILDINGS                        ,4,801,24, ,O3,119 WEST 25TH   STREET, ,10001,0,13,13,1906,4,O3,150000.00,2016-12-16
936,1,CHELSEA,21 OFFICE BUILDINGS                        ,4,801,58, ,O5,128 WEST 26TH STREET, ,10001,0,5,5,1930,4,O5,10150.00,2017-07-17
937,1,CHELSEA,21 OFFICE BUILDINGS                        ,4,803,29, ,O6,109 WEST 27TH   STREET, ,10013,0,24,24,1908,4,O6,0.00,2017-07-13
938,1,CHELSEA,22 STORE BUILDINGS                         ,4,695,28, ,K1,511 WEST 23RD   STREET, ,10011,0,1,1,2015,4,K1,0.00,2017-08-16
939,1,CHELSEA,22 STORE BUILDINGS                         ,4,695,43, ,K1,506 WEST 24TH   STREET, ,10011,0,1,1,2015,4,K1,0.00,2017-08-16
940,1,CHELSEA,22 STORE BUILDINGS                         ,4,696,10, ,K1,537 WEST 24TH STREET, ,10011,0,1,1,1946,4,K1,0.00,2016-10-20
941,1,CHELSEA,22 STORE BUILDINGS                         ,4,696,28, ,K1,507 WEST 24TH, ,10011,0,1,1,2013,4,K1,10750.00,2016-12-28
942,1,CHELSEA,22 STORE BUILDINGS                         ,4,716,2, ,K4,132 TENTH AVENUE, ,10011,0,1,1,1910,4,K4,8818.18,2016-11-04
943,1,CHELSEA,22 STORE BUILDINGS                         ,4,716,2, ,K4,132 10TH AVENUE, ,10011,0,1,1,1910,4,K4,0.00,2016-11-04
944,1,CHELSEA,22 STORE BUILDINGS                         ,4,717,5, ,K1,459 WEST 19TH   STREET, ,10011,0,1,1,1910,4,K1,20000.00,2017-06-27
945,1,CHELSEA,22 STORE BUILDINGS                         ,4,773,1, ,K2,258 8 AVENUE, ,10011,0,4,4,1932,4,K2,107250.00,2017-08-08
946,1,CHELSEA,22 STORE BUILDINGS                         ,4,774,1, ,K1,280 8 AVENUE, ,10001,0,1,1,1963,4,K1,0.00,2016-10-06
947,1,CHELSEA,22 STORE BUILDINGS                         ,4,790,36, ,K4,539 AVENUE OF THE AMER, ,10011,2,2,4,1920,4,K4,10600.00,2017-04-18
948,1,CHELSEA,23 LOFT BUILDINGS                          ,4,771,29, ,L9,217-219 WEST 21ST   STREET, ,10011,0,2,2,1920,4,L9,0.00,2016-12-15
949,1,CHELSEA,23 LOFT BUILDINGS                          ,4,795,19, ,L8,137 WEST 19TH STREET, ,10011,1,5,6,1910,4,L8,10500.00,2016-09-30
950,1,CHELSEA,23 LOFT BUILDINGS                          ,4,799,12, ,L8,155 WEST 23RD   STREET, ,10011,0,6,6,1910,4,L8,0.00,2016-12-20
951,1,CHELSEA,23 LOFT BUILDINGS                          ,4,799,63, ,L8,140 WEST 24TH   STREET, ,10011,0,3,3,1920,4,L8,9174.16,2017-01-18
952,1,CHELSEA,23 LOFT BUILDINGS                          ,4,800,14, ,L8,147 WEST 24TH   STREET, ,10011,0,6,6,1910,4,L8,0.00,2017-08-11
953,1,CHELSEA,23 LOFT BUILDINGS                          ,4,801,19, ,L1,133 WEST 25TH   STREET, ,10001,0,19,19,1921,4,L1,33000.00,2017-02-01
954,1,CHELSEA,25 LUXURY HOTELS                           ,4,801,71, ,H1,152 WEST 26TH STREET, ,10001,0,1,1,2010,4,H1,139725.00,2016-12-05
955,1,CHELSEA,26 OTHER HOTELS                            ,4,753,33, ,H8,305 WEST 29TH   STREET, ,10001,0,1,1,1900,4,H8,4300.00,2017-07-12
956,1,CHELSEA,26 OTHER HOTELS                            ,4,772,64, ,H3,216-222 WEST 23RD   STREET, ,10011,0,10,10,1900,4,H3,92007.58,2016-10-28
957,1,CHELSEA,26 OTHER HOTELS                            ,4,799,24, ,H3,131 WEST 23, ,10011,0,1,1,1925,4,H3,0.00,2016-11-03
958,1,CHELSEA,28 COMMERCIAL CONDOS                       ,4,691,1101, ,R5,505 WEST 19TH   STREET,COMM2,10011,0,1,1,2013,4,R5,0.00,2017-04-06
959,1,CHELSEA,28 COMMERCIAL CONDOS                       ,4,691,1102, ,R5,505 WEST 19TH   STREET,COMM1,10011,0,1,1,2013,4,R5,0.00,2017-04-06
960,1,CHELSEA,29 COMMERCIAL GARAGES                      ,2B,696,38, ,C4,255 10TH   AVENUE, ,10001,6,2,8,1954,4,G9,0.00,2016-09-08
961,1,CHELSEA,29 COMMERCIAL GARAGES                      ,4,799,70, ,G6,7 AVENUE, ,10011,0,0,0,1111,4,G6,8208.75,2017-04-21
962,1,CHELSEA,29 COMMERCIAL GARAGES                      ,4,803,62, ,G6,140-144 WEST 28TH   STREET, ,10001,0,0,0,0,4,G6,60000.00,2016-10-07
963,1,CHELSEA,35 INDOOR PUBLIC AND CULTURAL FACILITIES   ,4,792,70, ,P7,115 SEVENTH AVENUE, ,10011,0,1,1,1924,4,P7,0.00,2017-04-17
964,1,CHELSEA,37 RELIGIOUS FACILITIES                    ,4,799,25, ,M1,125 WEST 23RD   STREET, ,10011,0,1,1,1920,4,M1,50350.00,2016-11-03
965,1,CHELSEA,37 RELIGIOUS FACILITIES                    ,4,799,51, ,M3,116 WEST 24TH   STREET, ,10011,0,1,1,1920,4,M3,0.00,2016-11-03
966,1,CHELSEA,38 ASYLUMS AND HOMES                       ,4,764,11, ,N2,249 WEST 14TH   STREET, ,10011,35,0,35,1920,4,N2,7995.00,2017-07-31
967,1,CHELSEA,38 ASYLUMS AND HOMES                       ,4,799,53, ,N2,120 WEST 24TH   STREET, ,10011,0,1,1,1920,4,N2,0.00,2016-11-03
968,1,CHELSEA,43 CONDO OFFICE BUILDINGS                  ,4,803,1110, ,RB,301 7 AVENUE,6A,10001,0,0,1,0,4,RB,7610.00,2017-02-22
969,1,CHELSEA,43 CONDO OFFICE BUILDINGS                  ,4,803,1111, ,RB,305 7 AVENUE,7A,10001,0,0,1,0,4,RB,7100.00,2016-12-15
970,1,CHELSEA,43 CONDO OFFICE BUILDINGS                  ,4,803,1112, ,RB,305 SEVENTH AVENUE,7B,10001,0,0,1,0,4,RB,0.00,2016-12-15
971,1,CHELSEA,43 CONDO OFFICE BUILDINGS                  ,4,803,1113, ,RB,305 SEVENTH AVENUE,7C,10001,0,0,1,0,4,RB,0.00,2016-12-15
972,1,CHELSEA,43 CONDO OFFICE BUILDINGS                  ,4,803,1114, ,RB,305 SEVENTH AVENUE,7D,10001,0,0,1,0,4,RB,0.00,2016-12-15
973,1,CHELSEA,43 CONDO OFFICE BUILDINGS                  ,4,803,1117, ,RB,305 7 AVENUE,10A,10001,0,0,1,0,4,RB,7214.40,2016-12-15
974,1,CHELSEA,44 CONDO PARKING                           ,4,691,1103, ,RG,505 WEST 19TH   STREET,PARK3,10011,0,0,1,2013,4,RG,500.00,2017-06-22
975,1,CHELSEA,44 CONDO PARKING                           ,4,691,1103, ,RG,505 WEST 19TH   STREET,PARK3,10011,0,0,1,2013,4,RG,0.00,2016-11-14
976,1,CHELSEA,44 CONDO PARKING                           ,4,716,1143, ,RG,444 WEST 19TH   STREET,P1,10011,0,0,1,0,4,RG,0.00,2017-04-06
977,1,CHELSEA,44 CONDO PARKING                           ,4,716,1151, ,RG,444 WEST 19TH   STREET,P9,10011,0,0,1,0,4,RG,137.50,2017-06-30
978,1,CHELSEA,44 CONDO PARKING                           , ,794,1331, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RG,0.00,2017-03-29
979,1,CHELSEA,44 CONDO PARKING                           , ,794,1332, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RG,0.00,2016-12-30
980,1,CHELSEA,44 CONDO PARKING                           , ,794,1333, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RG,0.00,2016-12-30
981,1,CHELSEA,44 CONDO PARKING                           , ,794,1334, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RG,0.00,2016-12-30
982,1,CHELSEA,44 CONDO PARKING                           , ,794,1335, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RG,0.00,2016-12-30
983,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,695,1201, ,RK,521 WEST 23RD   STREET,GNDFL,10011,0,0,1,0,4,RK,0.00,2017-04-28
984,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,695,1202, ,RK,521 WEST 23RD   STREET,2FL,10011,0,0,1,0,4,RK,5100.00,2016-12-02
985,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,695,1203, ,RK,521 WEST 23RD STREET,3FL-F,10011,0,0,1,0,4,RK,1750.00,2017-01-18
986,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,721,1052, ,RK,405 WEST 23RD   STREET,7B-D,10011,0,0,1,0,4,RK,0.00,2017-05-03
987,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,721,1067, ,RK,215 9 AVENUE,7A,10011,0,0,1,0,4,RK,0.00,2017-05-03
988,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,745,1301, ,RK,225 8 AVENUE,COM,10011,0,0,1,0,4,RK,0.00,2017-05-02
989,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,774,1001, ,RK,252 7 AVENUE,COMM1,10001,0,0,1,0,4,RK,0.00,2017-08-22
990,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,774,1002, ,RK,252 7 AVENUE,COMM2,10001,0,0,1,0,4,RK,0.00,2017-08-22
991,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,774,1003, ,RK,252 7 AVENUE,COMM3,10001,0,0,1,0,4,RK,0.00,2017-08-22
992,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,774,1004, ,RK,252 7 AVENUE,COMM4,10001,0,0,1,0,4,RK,0.00,2017-08-22
993,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,774,1005, ,RK,252 7 AVENUE,COMM5,10001,0,0,1,0,4,RK,0.00,2017-08-22
994,1,CHELSEA,46 CONDO STORE BUILDINGS                   ,4,797,1601, ,RK,125 WEST 21ST STREET,COMM,10011,0,0,1,2006,4,RK,12250.00,2016-09-15
995,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              ,4,794,1155, ,RS,163 WEST 18TH STREET,S24,10011,0,0,1,2006,4,RS,0.00,2017-08-03
996,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1339, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-10-18
997,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1341, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2017-03-03
998,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1342, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-12-30
999,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1343, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-12-30
1000,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1344, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-12-30
1001,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1345, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-12-30
1002,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1346, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2017-03-29
1003,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1347, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-10-05
1004,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1348, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-11-03
1005,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1349, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-11-16
1006,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1350, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-10-13
1007,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1351, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-10-20
1008,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1352, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-11-14
1009,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE              , ,794,1354, , ,155 WEST 18TH   STREET, ,0,0,0,0,0,4,RS,0.00,2016-12-14
1010,1,CHELSEA,48 CONDO TERRACES/GARDENS/CABANAS          ,4,799,1026, ,RT,124 WEST 24TH   STREET,ROOF5,10011,0,0,1,1920,4,RT,0.00,2016-12-13
1011,1,CHINATOWN,07 RENTALS - WALKUP APARTMENTS             ,2,162,15, ,C7,28 MOTT STREET, ,10013,17,1,18,1920,2,C7,0.00,2017-06-16
1012,1,CHINATOWN,07 RENTALS - WALKUP APARTMENTS             ,2,164,28, ,C7,45 MOTT STREET, ,10013,11,3,14,1915,2,C7,8275.00,2016-11-16
